population,best_model,onset_cps,r_squared,aic_linear,aic_sigmoid,aic_exponential,aic_hinge,parameters
PV,linear,-1.6633646279505683,0.0009239149724666849,-259.17034603409,-255.45078174352705,-257.10656643268527,-255.77349267869255,"{'slope': np.float64(0.018744290802308744), 'intercept': np.float64(0.9811785902965795)}"
PYR,linear,0.5321859786797172,0.05323869726245804,-215.2201411388358,-211.65768119457496,-213.20137961738885,-211.9300086432487,"{'slope': np.float64(-0.20098319656856423), 'intercept': np.float64(1.0569604391640193)}"
SST,linear,0.3303789395199989,0.11298243202051239,-151.34964973790645,-148.5988550465891,-149.87770267850186,-148.38175805428315,"{'slope': np.float64(-0.48051837475475695), 'intercept': np.float64(1.10875315107135)}"
VIP,hinge,0.8568211331825187,0.09351191586542473,-185.67581323168818,-187.18656076133732,-183.6649617541167,-187.303434732278,"{'x0': np.float64(0.8568211331825187), 'slope_before': np.float64(-0.021612697207309406), 'slope_after': np.float64(-4.972656734152281), 'y0': np.float64(0.9595718986276472)}"
